date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,change,changeOverTime,changePercent,high,close,unadjustedVolume,adjClose,vwap,volume,low,open
2023-05-22,"May 22, 23",0.03,0.03,2023-05-23,2023-06-15,2023-04-25,-0.27,-0.0034026,-0.34026,79.42,79.08,1357700,78.76,79.14,1357700,78.71,79.35
2023-05-19,"May 19, 23",,,,,,-0.75,-0.0093645,-0.93645,81.09,79.34,1312933,78.99,79.91,1312933,79.12,80.09
2023-05-18,"May 18, 23",,,,,,-0.73,-0.0090773,-0.90773,81.13,79.69,1483500,79.34,80.115,1483500,79.22,80.42
2023-05-17,"May 17, 23",,,,,,2.37,0.0304,3.04,80.61,80.3,3716300,79.95,78.7625,3716300,76.21,77.93
2023-05-16,"May 16, 23",,,,,,2.51,0.0333,3.33,78.27,77.78,2669114,77.44,76.635,2669114,75.22,75.27
2023-05-15,"May 15, 23",,,,,,-0.17,-0.0022636,-0.22636,75.56,74.93,1188031,74.6,75.0725,1188031,74.7,75.1
2023-05-12,"May 12, 23",,,,,,0.03,0.0004005875,0.04005875,75.01,74.92,2577800,74.59,74.7725,2577800,74.27,74.89
2023-05-11,"May 11, 23",,,,,,-0.72,-0.00951,-0.951,75.71,74.99,1505003,74.66,75.28,1505003,74.71,75.71
2023-05-10,"May 10, 23",,,,,,-0.6,-0.0078431,-0.78431,76.76,75.9,1792937,75.57,76.0325,1792937,74.97,76.5
2023-05-09,"May 09, 23",,,,,,-2.18,-0.0278,-2.78,78.79,76.37,2499728,76.03,77.4575,2499728,76.12,78.55
2023-05-08,"May 08, 23",,,,,,0.54,0.0068458,0.68458,79.49,79.42,842342,79.07,79.1,842342,78.61,78.88
2023-05-05,"May 05, 23",,,,,,0.49,0.006242,0.6242,79.53,78.99,1077640,78.64,78.88,1077640,78.5,78.5
2023-05-04,"May 04, 23",,,,,,-1.36,-0.0171,-1.71,80.26,78.26,1751465,77.91,78.9575,1751465,77.69,79.62
2023-05-03,"May 03, 23",,,,,,1.24,0.0158,1.58,80.42,79.71,1748900,79.36,79.155,1748900,78.02,78.47
2023-05-02,"May 02, 23",,,,,,-1.88,-0.0234,-2.34,80.65,78.46,1879100,78.11,79.335,1879100,77.89,80.34
2023-05-01,"May 01, 23",,,,,,-0.3,-0.0037,-0.37,81.73,80.78,1355960,80.42,81.0775,1355960,80.72,81.08
2023-04-28,"April 28, 23",,,,,,0.14,0.0017241,0.17241,81.73,81.34,1617659,80.98,81.32,1617659,81.01,81.2
2023-04-27,"April 27, 23",,,,,,0.7,0.0086612,0.86612,81.54,81.52,1557122,81.16,81.125,1557122,80.62,80.82
2023-04-26,"April 26, 23",,,,,,0.39,0.0048915,0.48915,80.27,80.12,3489500,79.77,79.42,3489500,77.56,79.73
2023-04-25,"April 25, 23",,,,,,-3.11,-0.0372,-3.72,83.5,80.39,7291417,80.04,81.5425,7291417,78.78,83.5
2023-04-24,"April 24, 23",,,,,,1.19,0.0137,1.37,87.83,87.79,2693549,87.4,87.1,2693549,86.18,86.6
