date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,declarationDate,paymentDate,dividend
2023-07-20,35.29,35.43,34.59,34.89,33,5770900,5770900,-0.4,-1.13,35.05,"July 20, 23",-0.0113,,,,,
2023-07-19,36.24,36.33,35.68,36.11,34.16,6202100,6202100,-0.13,-0.35872,36.09,"July 19, 23",-0.0035872,,,,,
2023-07-18,36.11,36.34,35.16,36.17,34.21,7015374,7015374,0.06,0.16616,35.945,"July 18, 23",0.0016616,,,,,
2023-07-17,34.74,35.86,34.7,35.51,33.59,6253300,6253300,0.77,2.22,35.2025,"July 17, 23",0.0222,,,,,
2023-07-14,35.33,35.54,34.63,34.9,33.01,4235415,4235415,-0.43,-1.22,35.1,"July 14, 23",-0.0122,,,,,
2023-07-13,34.99,35.72,34.96,35.67,33.74,4211800,4211800,0.68,1.94,35.335,"July 13, 23",0.0194,,,,,
2023-07-12,35.16,35.43,34.84,34.87,32.98,4042700,4042700,-0.29,-0.8248,35.075,"July 12, 23",-0.008248,,,,,
2023-07-11,34.23,34.81,34.02,34.72,32.84,3742000,3742000,0.49,1.43,34.445,"July 11, 23",0.0143,,,,,
2023-07-10,33.4,33.99,33.36,33.95,32.11,3883400,3883400,0.55,1.65,33.675,"July 10, 23",0.0165,,,,,
2023-07-07,33.41,34.06,33.41,33.61,31.79,3604400,3604400,0.2,0.59862,33.6225,"July 07, 23",0.0059862,,,,,
2023-07-06,33.29,33.49,32.8,33.44,31.63,3618900,3618900,0.15,0.45059,33.255,"July 06, 23",0.0045059,,,,,
2023-07-05,34.02,34.17,33.7,33.74,31.91,4129844,4129844,-0.28,-0.82305,33.9075,"July 05, 23",-0.0082305,,,,,
2023-07-03,33.97,34.51,33.89,34.38,32.52,1637900,1637900,0.41,1.21,34.1875,"July 03, 23",0.0121,,,,,
2023-06-30,34.36,34.43,33.65,33.92,32.08,3593900,3593900,-0.44,-1.28,34.09,"June 30, 23",-0.0128,,,,,
