date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,paymentDate,declarationDate,recordDate,adjDividend
2023-04-12,5620,5655,5579.95,5590.22,5590.22,14473,14500,-29.78,-0.52989,5604.72,"April 12, 23",-0.0052989,,,,,
2023-04-11,5520.51,5606.16,5520.51,5578.01,5578.009766,13981,14000,57.5,1.04,5574.76,"April 11, 23",0.0104,,,,,
2023-04-10,5450.67,5530.475,5450,5479.87,5479.87,13049,13000,29.2,0.53571,5479.3,"April 10, 23",0.0053571,,,,,
2023-04-06,5538.16,5538.16,5444.06,5468.08,5468.08,20126,20100,-70.08,-1.27,5471.25,"April 06, 23",-0.0127,,,,,
2023-04-05,5539.3,5570,5486.5,5542.84,5542.839844,18395,18400,3.54,0.06390699,5525.27,"April 05, 23",0.0006390699,,,,,
2023-04-04,5582,5620,5480.05,5526.81,5526.81,20786,20800,-55.19,-0.98871,5538.25,"April 04, 23",-0.0098871,,,,,
2023-04-03,5572.19,5613.92,5534,5576.7,5576.7,20079,20100,4.51,0.08093766,5569.73,"April 03, 23",0.0008093766,,,,,
2023-03-31,5425.72,5586.325,5418.17,5572.19,5572.189941,21579,21600,146.47,2.7,5547.7,"March 31, 23",0.027,,,,,
2023-03-30,5429.96,5480.97,5410.91,5417.11,5417.109863,22648,22600,-12.85,-0.23665,5427.21,"March 30, 23",-0.0023665,,,,,
2023-03-29,5450,5450,5382.585,5433.99,5433.99,16523,16500,-16.01,-0.29376,5419.69,"March 29, 23",-0.0029376,,,,,
2023-03-28,5404.12,5449.96,5385.25,5413.56,5413.56,11748,11700,9.44,0.17468,5414.93,"March 28, 23",0.0017468,,,,,
2023-03-27,5426,5429.26,5302.61,5375.45,5375.45,12707,12700,-50.55,-0.93163,5390.88,"March 27, 23",-0.0093163,,,,,
2023-03-24,5342.29,5443.79,5275,5413,5413,20890,20900,70.71,1.32,5371.99,"March 24, 23",0.0132,,,,,
2023-03-23,5410.1,5520.08,5346.59,5354.43,5354.43,23357,23400,-55.67,-1.03,5407.89,"March 23, 23",-0.0103,,,,,
2023-03-22,5460.41,5549.43,5411.28,5426.07,5426.069824,24767,24800,-34.34,-0.62889,5470.45,"March 22, 23",-0.0062889,,,,,
2023-03-21,5530,5542.72,5460.13,5482.24,5482.24,18330,18300,-47.76,-0.86365,5484.78,"March 21, 23",-0.0086365,,,,,
2023-03-20,5497.08,5538.74,5450,5494.47,5494.47,22968,23000,-2.61,-0.04747975,5499.18,"March 20, 23",-0.0004747975,,,,,
2023-03-17,5500,5537.72,5423.06,5503,5503,54767,54800,3,0.05454545,5499.95,"March 17, 23",0.0005454545,,,,,
2023-03-16,5299.06,5499.99,5299.06,5478.12,5478.12,21195,21200,179.06,3.38,5450.27,"March 16, 23",0.0338,,,,,
2023-03-15,5345.05,5434.93,5285,5322.89,5322.89,32053,32100,-22.16,-0.41459,5337.28,"March 15, 23",-0.0041459,,,,,
2023-03-14,5300,5386.21,5212.12,5371.72,5371.72,22616,22600,71.72,1.35,5341.92,"March 14, 23",0.0135,,,,,
2023-03-13,5176.02,5299.97,5150.32,5266.68,5266.68,28595,28600,90.66,1.75,5259.45,"March 13, 23",0.0175,,,,,
2023-03-10,5298.18,5310.8,5182.27,5235.47,5235.47,19588,19600,-62.71,-1.18,5238.77,"March 10, 23",-0.0118,,,,,
2023-03-09,5339,5396.69,5295.57,5308.12,5308.12,27090,27100,-30.88,-0.57839,5337.2,"March 09, 23",-0.0057839,,,,,
