date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-10-14,192.49,194.14,190.32,193.14,193.14,448200,448200,0.65,0.33768,192.5225,"October 14, 24",0.0033768
2024-10-11,191.29,194.74,190.5,192.97,192.97,365646,365646,1.68,0.87825,192.375,"October 11, 24",0.0087825
2024-10-10,185.5,196.25,185.5,191.43,191.43,828903,828903,5.93,3.2,189.67,"October 10, 24",0.032
2024-10-09,188,189.45,186.03,187.7,187.7,523426,523426,-0.3,-0.15957,187.795,"October 09, 24",-0.0015957
2024-10-08,188.9,189.5,186.68,186.83,186.83,718445,718445,-2.07,-1.1,187.9775,"October 08, 24",-0.011
2024-10-07,187.99,189.5,185.97,189.22,189.22,879612,879612,1.23,0.65429,188.17,"October 07, 24",0.0065429
2024-10-04,194.35,194.35,189.88,190.74,190.74,544400,544400,-3.61,-1.86,192.33,"October 04, 24",-0.0186
2024-10-03,191.32,193.9,189.38,189.59,189.59,855200,855200,-1.73,-0.90424,191.0475,"October 03, 24",-0.0090424
2024-10-02,191.01,194.82,189.33,192.9,192.9,675100,675100,1.89,0.98948,192.015,"October 02, 24",0.0098948
2024-10-01,194.88,194.88,191.5,194.08,194.08,460600,460600,-0.8,-0.41051,193.835,"October 01, 24",-0.0041051
2024-09-30,196.92,198.98,194.2,196.97,196.97,505614,505614,0.05,0.02539102,196.7675,"September 30, 24",0.0002539102
2024-09-27,199.58,201.67,197.08,198.31,198.31,486100,486100,-1.27,-0.63634,199.16,"September 27, 24",-0.0063634
2024-09-26,196.31,199.26,194.5,198.26,198.26,615229,615229,1.95,0.99333,197.0825,"September 26, 24",0.0099333
2024-09-25,200.49,200.9,190.72,192.9,192.9,1048800,1048800,-7.59,-3.79,196.2525,"September 25, 24",-0.0379
2024-09-24,205.01,205.01,199.88,200.62,200.62,792000,792000,-4.39,-2.14,202.63,"September 24, 24",-0.0214
2024-09-23,207,207,203.24,203.77,203.77,629500,629500,-3.23,-1.56,205.2525,"September 23, 24",-0.0156
2024-09-20,207.58,208.03,203.32,205.79,205.79,1173100,1173100,-1.79,-0.86232,206.18,"September 20, 24",-0.0086232
